DESCRIPTION,CATEGORY,ID
snacks,,
frozen,,
fruit,,
other,,
cheese,7,
seeds,23,
popcorn,23,
peanuts,23,
related,,
yogurt,7,30
candy,,
drinks,5,
canned,6,
vegetable,19,
mixes,,
vegetables,19,
cream,7,
biscuits,2,
cookies,2,
ice,,
pasta,9,
juice,5,
pickles,6,
olives,6,
peppers,23,
relishes,6,
breads,2,
buns,2,
chips,23,
pretzels,23,
sauces,6,
snack,,
fruit,18,
nectars,18,
cereal,23,
chocolate,3,
cakes,2,
cupcakes,2,
pizza,8,
bars,,
snack,,
energy,,
granola,23,
seasoning,3,
salts,23,
marinades,6,
tenderizers,,
ketchup,6,
mustard,6,
bbq,6,
sauce,6,
prepared,,
soda,5,
milk,,
dinners,,
water,,
cooking,,
dips,,
salsa,,
by,,
shape,,
type,,
dressing,,
salad,,
mayonnaise,,
wholesome,,
seafood,,
pre-packaged,,
fish,,
powdered,,
mexican,,
crackers,,
entrees,,
pepperoni,,
salami,,
cold,,
cuts,,
baking,,
appetizers,,
hors,,
d'oeuvres,,
oils,,
hotdogs,,
brats,,
sausages,,
products,,
biscotti,,
decorations,,
dessert,,
toppings,,
tea,,
soups,,
and,,
oriental,,
ethnic,,
spreads,,
sweet,,
jam,,
jelly,,
bottled,,
beans,,
meals,,
soup,,
deli,,
cake,,
cookie,,
cupcake,,
tomatoes,,
frozen,,
based,,
dough,,
croissants,,
rolls,,
muffins,,
pastries,,
rice,,
nut,,
seed,,
butters,,
meats,,
sausages,,
additives,,
concentrates,,
desserts,,
bread,,
biscuits/cookies,,
herbs,,
spices,,
ready,,
to,,
unprepared/unprocessed,,
iced,,
bottle,,
plant,,
sandwiches,,
lentil,,
ribs,,
prepared/processed,,
butter,,
spread,,
flavored,,
energy,,
protein,,
muscle,,
recovery,,
syrups,,
molasses,,
granulated,,
brown,,
sugar,,
(shelf,,
stable,,
sides,,
meat/poultry/other,,
animals,,
bags,,
drink,,
alcoholic,,
beverages,,
substitutes,,
dinner,,
non,,
bacon,,
crusts,,
honey,,
meal,,
chewing,,
gum,,
mints,,
chili,,
stew,,
confectionery,,
flours,,
corn,,
salads,,
waffles,,
french,,
toast,,
crepes,,
grains,,
puddings,,
custards,,
chicken,,
turkey,,
patties,,
burgers,,
muffin,,
entrees,,
small,,
pancakes,,
condensed,,
tuna,,
breakfast,,
cooked,,
all,,
noodles,,
egg,,
eggs,,
gravy,,
mix,,
french,,
fries,,
potatoes,,
onion,,
rings,,
subs,,
dishes,,
extracts,,
meat,,
poultry,,
gelatin,,
gels,,
pectins,,
processed,,
liquid,,
enhancer,,
alcohol,,
lunch,,
combinations,,
shellfish,,
bakery,,
sport,,
condiments,,
baking/cooking,,
pastry,,
shells,,
fillings,,
mixes/supplies,,
eat,,
sauces/spreads/dips/condiments,,
dry,,
bacon,,
wraps,,
burittos,,
yogurt/yogurt,,
not,,
supplements,,
cereals,,
sushi,,
savoury,,
stuffing,,
poultry,,
coffee,,
(frozen,,
cereal/muesli,,
chips/crisps/snack,,
natural/extruded,,
vegetarian,,
specialty,,
formula,,
breakfast,,
desserts/dessert,,
sauces/toppings,,
grain,,
pasta/noodles,,
coffee/tea/substitutes,,
pancakes,,
baby/infant,,
foods/beverages,,
combination,,
pies/pastries,,
ready-made,,
replacement,,
cheese/cheese,,
grains/flour,,
foods,,
variety,,
packs,,
nuts/seeds,,
herbs/spices/extracts,,
prepared/preserved,,
weight,,
control,,
flavoured,,
care,,
health,,
butter/butter,,
sandwiches/filled,,
rolls/wraps,,
confection,,
edible,,
cream/ice,,
novelties,,
green,,
supplies,,
dairy/egg,,
accessories,,
digestive,,
fiber,,
sugars/sugar,,
substitute,,
pies/pastries/pizzas/quiches,,
milk/milk,,
popcorn,,
fruit/nuts/seeds,,
bread/bakery,,
(perishable,,
miscellanious,,
fruits,,
produce,,
herbal,,
condiments,,
aquatic,,
invertebrates/fish/shellfish/seafood,,
fats,,
pickles/relishes/chutneys/olives,,
children's,,
vitamins,,
food/beverage/tobacco,,
pork,,
antioxidant,,
oral,,
hygiene,,
acid,,
nutritional,,
dried,,
dressings/dips,,
fatty,,
branded_food_category,,
flour,,
cereal/pulse,,
vinegars/cooking,,
wines,,
beef,,
natural,,
remedies,,
beer,,
amino,,
skin,,
preparations,,
